"id","plazas_total","plazas_concertadas","lugar","porc_concertadas"
"0",249871,81820,"Media nacional",32.7448963665251
"2",2000,725,"Albacete",36.25
"3",6370,1937,"Alicante/Alacant",30.4081632653061
"4",2335,1058,"Almería",45.3104925053533
"1",1691,381,"Araba/Álava",22.5310467179184
"33",8965,1660,"Asturias",18.5164528722811
"5",2643,214,"Ávila",8.09685962920923
"6",2758,768,"Badajoz",27.8462654097172
"7",2353,1003,"Balears (Illes)",42.6264343391415
"8",34401,13686,"Barcelona",39.7837272172321
"48",7303,3962,"Bizkaia",54.2516773928523
"9",4471,225,"Burgos",5.03243122343995
"10",3215,489,"Cáceres",15.2099533437014
"11",3431,1748,"Cádiz",50.9472457009618
"39",5156,3590,"Cantabria",69.6276183087665
"12",1949,885,"Castellón/Castelló",45.4079014879425
"51",42,42,"Ceuta",100
"13",3815,1304,"Ciudad Real",34.1808650065531
"14",3625,1798,"Córdoba",49.6
"15",4227,893,"Coruña (A)",21.1260941566123
"16",2106,994,"Cuenca",47.1984805318139
"20",3022,2385,"Gipuzkoa",78.921244209133
"17",3263,1619,"Girona",49.6169169475942
"18",3614,1183,"Granada",32.7338129496403
"19",2404,460,"Guadalajara",19.134775374376
"21",1904,1062,"Huelva",55.7773109243698
"22",1583,424,"Huesca",26.7845862286797
"23",2748,1049,"Jaén",38.1732168850073
"24",4644,546,"León",11.7571059431525
"25",3641,1763,"Lleida",48.4207635265037
"27",2110,584,"Lugo",27.6777251184834
"28",34775,10827,"Madrid",31.1344356578001
"29",6073,1965,"Málaga",32.3563313024864
"52",111,100,"Melilla",90.0900900900901
"30",4060,2441,"Murcia",60.1231527093596
"31",3891,1471,"Navarra",37.8051914674891
"32",4251,760,"Ourense",17.8781463185133
"34",2792,344,"Palencia",12.3209169054441
"35",1230,55,"Palmas (Las)",4.47154471544715
"36",3629,890,"Pontevedra",24.5246624414439
"26",2116,621,"Rioja (La)",29.3478260869565
"37",5510,313,"Salamanca",5.68058076225045
"38",1414,474,"Santa Cruz de Tenerife",33.5219236209335
"40",1680,81,"Segovia",4.82142857142857
"41",6919,2755,"Sevilla",39.8178927590692
"42",1273,86,"Soria",6.75569520816968
"43",4010,2400,"Tarragona",59.8503740648379
"44",974,200,"Teruel",20.5338809034908
"45",5918,1215,"Toledo",20.5305846569787
"46",11089,3825,"Valencia/València",34.4936423482731
"47",5979,412,"Valladolid",6.89078441210905
"49",2573,398,"Zamora",15.4683249125534
"50",7815,1750,"Zaragoza",22.3928342930262